"","time","eps_nAChR_unbound","eps_helicase_unbound"
"1",0,0,0
"2",1,0.0535081413548202,0.0810442454269514
"3",2,0.191845715637544,0.27024583342061
"4",3,0.233307070055773,0.321901913595474
"5",4,0.231633322743659,0.319857744649033
"6",5,0.214420455828799,0.298636944074493
"7",6,0.192674234186125,0.271299272747684
"8",7,0.171281755045533,0.243813488619681
"9",8,0.152306933121445,0.218926188880754
"10",9,0.136384941094099,0.197663821650353
"11",10,0.123445650374934,0.18012336486757
"12",11,0.113114105356398,0.165946317576088
"13",12,0.104926126648736,0.154600635868523
"14",13,0.0984344422989843,0.145535343384351
"15",14,0.0932526286046718,0.138254259670453
"16",15,0.0890663281105244,0.132342600923005
"17",16,0.0856290756971747,0.127468931870532
"18",17,0.0827522061239468,0.123376043285132
"19",18,0.080293592865833,0.119868201664763
"20",19,0.0781473271426557,0.116798438312165
"21",20,0.0762350731434046,0.11405741585708
"22",21,0.0744991807284428,0.111564310103667
"23",22,0.0728973637594978,0.109259633486769
"24",23,0.0713986686429466,0.107099727430676
"25",24,0.0699804603157102,0.105052605467249
"26",25,0.115213344875075,0.168839389547889
"27",26,0.236391066344198,0.325659575481516
"28",27,0.27274868502653,0.369110311474171
"29",28,0.270498412602652,0.366465635032323
"30",29,0.254244427347679,0.347189542999424
"31",30,0.23389754256076,0.32262225670439
"32",31,0.21386170110559,0.297941963628245
"33",32,0.195990829399371,0.275507414883726
"34",33,0.180853054275363,0.25618494046209
"35",34,0.168385263299153,0.240045720144111
"36",35,0.158253066091089,0.226777382119415
"37",36,0.150043215502464,0.215924530132001
"38",37,0.143357772264497,0.207018598664383
"39",38,0.137852909086483,0.199638889250896
"40",39,0.133248755489843,0.193434137996105
"41",40,0.129325672157206,0.188123684290303
"42",41,0.125915318938595,0.183489574499034
"43",42,0.122890696937469,0.179365753077128
"44",43,0.12015701854925,0.175627348159705
"45",44,0.117644053088132,0.172181303244842
"46",45,0.115300020805578,0.168958704834396
"47",46,0.113086867953853,0.165908738246318
"48",47,0.110976681617126,0.162994042090557
"49",48,0.108949004806527,0.160187195594247
"50",49,0.149905671896512,0.215741922927455
"51",50,0.261890349825487,0.356295192996207
"52",51,0.29548497207919,0.395510763735131
"53",52,0.292949132934494,0.39259486518203
"54",53,0.277255729752572,0.374389953017854
"55",54,0.257711362737709,0.351326815004592
"56",55,0.23845254709683,0.328164979360959
"57",56,0.221217670447555,0.307060347973499
"58",57,0.206538210449159,0.288796949433905
"59",58,0.194355084864183,0.273433721288863
"60",59,0.184356277781246,0.260683006077255
"61",60,0.176156544191326,0.250129516273733
"62",61,0.169385046975802,0.241347504578006
"63",62,0.163721370488665,0.233955380469102
"64",63,0.158904622557801,0.22763476959022
"65",64,0.154729954118282,0.222131321667046
"66",65,0.151040258647992,0.217247460427277
"67",66,0.147716923440431,0.212832575537909
"68",67,0.14467134841101,0.208773332580624
"69",68,0.141837832022516,0.204985209626284
"70",69,0.139167892295225,0.20140556658925
"71",70,0.136625868624683,0.197988182875356
"72",71,0.13418558149265,0.194699055761049
"73",72,0.131827828530935,0.19151322021309
"74",73,0.129538524198938,0.188412368092376
"75",74,0.127307326170971,0.18538307930618
"76",75,0.125126625500005,0.182415514621298
"77",76,0.122990806509198,0.179502453312509
"78",77,0.120895705569975,0.176638586615681
"79",78,0.118838215964932,0.173820000031729
"80",79,0.116815999729236,0.171043794538003
"81",80,0.114827277727402,0.168307809788512
"82",81,0.112870676832076,0.165610422020645
"83",82,0.110945118723392,0.162950396594612
"84",83,0.109049739006792,0.160326780454549
"85",84,0.107183828412821,0.157738823753244
"86",85,0.105346790185598,0.155185922926639
"87",86,0.103538109029855,0.15266757911368
"88",87,0.101757328675608,0.150183368060554
"89",88,0.100004035368632,0.147732917923549
"90",89,0.098277846308081,0.145315893721792
"91",90,0.0965784013574473,0.14293198618937
"92",91,0.094905356123076,0.140580902411801
"93",92,0.0932583777493545,0.138262360177197
"94",93,0.0916371424101589,0.135976084652965
"95",94,0.0900413327689907,0.133721804976999
"96",95,0.088470635944316,0.131499251524339
"97",96,0.0869247424424804,0.12930815451518
"98",97,0.0854033456318842,0.127148243375469
"99",98,0.0839061411992968,0.125019246063707
"100",99,0.0824328267319036,0.122920888568667
"101",100,0.0809831012960687,0.120852894396136
"102",101,0.0795566655201976,0.1188149847703
"103",102,0.0781532213790008,0.116806878408218
"104",103,0.076772472252019,0.114828291684382
"105",104,0.075414123073079,0.112878938926182
"106",105,0.0740778801615676,0.11095853225316
"107",106,0.0727634513517016,0.109066781842819
"108",107,0.0714705459816347,0.107203395995341
"109",108,0.0701988749790026,0.10536808133686
"110",109,0.0689481509030322,0.103560542960299
"111",110,0.0677180880867315,0.101780484710967
"112",111,0.0665084026485795,0.100027609283819
"113",112,0.0653188125916813,0.0983016184470537
"114",113,0.0641490378401416,0.0966022131747243
"115",114,0.0629988003428204,0.0949290938769477
"116",115,0.0618678240690529,0.0932819604728849
"117",116,0.0607558350340106,0.0916605125059671
"118",117,0.0596625613647786,0.0900644493178949
"119",118,0.0585877336258708,0.088493470601742
"120",119,0.0575310843236028,0.0869472757550446
"121",120,0.05649234842895,0.0854255647197061
"122",121,0.0554712632951973,0.0839280379379372
"123",122,0.0544675685379078,0.0824543962508704
"124",123,0.0534810062963841,0.0810043413559089
"125",124,0.0525113210890144,0.0795775756675389
"126",125,0.0515582599296731,0.0781738025603164
"127",126,0.0506215723353007,0.0767927264512189
"128",127,0.0497010103029954,0.0754340528358458
"129",128,0.0487963284564331,0.0740974885735071
"130",129,0.0479072838973258,0.0727827417359725
"131",130,0.0470336363334751,0.0714895218633551
"132",131,0.0461751481437322,0.0702175401263534
"133",132,0.0453315842136131,0.0689665091475261
"134",133,0.0445027121512773,0.0677361433848677
"135",134,0.043688302157563,0.0665261590017226
"136",135,0.0428881270658137,0.0653362739870421
"137",136,0.0421019624151258,0.0641662083245241
"138",137,0.0413295863314815,0.0630156838748237
"139",138,0.0405707796435288,0.0618844246056414
"140",139,0.0398253258231176,0.0607721565599189
"141",140,0.0390930109669254,0.0596786078838078
"142",141,0.038373623896539,0.0586035090304518
"143",142,0.0376669560037205,0.0575465925820704
"144",143,0.036972801369728,0.0565075934801861
"145",144,0.0362909567251275,0.0554862490165355
"146",145,0.0356212213842686,0.0544822987846022
"147",146,0.0349633974209716,0.0534954849916019
"148",147,0.0343172893736025,0.0525255520637982
"149",148,0.0336827043818529,0.0515722468976167
"150",149,0.0330594521920837,0.0506353189129439
"151",150,0.0324473454151018,0.0497145204852927
"152",151,0.0318461987793733,0.048809605865805
"153",152,0.0312558296410823,0.0479203319896022
"154",153,0.0306760580168247,0.0470464585664628
"155",154,0.0301067067307407,0.0461877483433565
"156",155,0.029547600540448,0.0453439658251903
"157",156,0.0289985668313564,0.0445148783588715
"158",157,0.0284594356780218,0.0437002562636548
"159",158,0.0279300396895212,0.0428998726342569
"160",159,0.0274102135182904,0.0421135026329958
"161",160,0.0268997943422924,0.0413409242522056
"162",161,0.0263986219551154,0.0405819184843818
"163",162,0.0259065384250063,0.0398362688385598
"164",163,0.0254233880128559,0.0391037612468879
"165",164,0.0249490173517106,0.0383841843668606
"166",165,0.0244832758482334,0.0376773302205953
"167",166,0.0240260147147639,0.0369829927552765
"168",167,0.0235770873872925,0.0363009685044397
"169",168,0.0231363495381254,0.0356310566342817
"170",169,0.0227036589704838,0.0349730588097469
"171",170,0.0222788755756911,0.0343267791547248
"172",171,0.0218618631126614,0.0336920269858582
"173",172,0.0214524857030803,0.033068611504118
"174",173,0.0210506094392223,0.03245634426213
"175",174,0.0206561027590548,0.031855039758326
"176",175,0.0202688360482733,0.0312645148529241
"177",176,0.0198886815943708,0.0306845887188833
"178",177,0.0195155163705006,0.0301150871116857
"179",178,0.019149216914999,0.0295558345784286
"180",179,0.0187896611100017,0.0290066571868566
"181",180,0.0184367294390395,0.0284673844643856
"182",181,0.018090304210143,0.02793784823068
"183",182,0.0177502695146725,0.0274178825521882
"184",183,0.0174165136170317,0.0269073274153461
"185",184,0.0170889249049862,0.0264060225513833
"186",185,0.0167673925967142,0.0259138085301455
"187",186,0.0164518084828151,0.0254305294412009
"188",187,0.0161420660773002,0.0249560316102715
"189",188,0.0158380605821201,0.0244901635594003
"190",189,0.0155396902581595,0.024032778123007
"191",190,0.0152468543107241,0.0235837292219414
"192",191,0.0149594527274519,0.0231428716261464
"193",192,0.014677387721719,0.0227100631804901
"194",193,0.0144005631076467,0.0222851638591587
"195",194,0.0141288842673418,0.0218680357273237
"196",195,0.0138622589271408,0.0214585441450622
"197",196,0.013600596091992,0.0210565561430015
"198",197,0.0133438055600051,0.0206619396864337
"199",198,0.0130917990436358,0.0202745654079022
"200",199,0.0128444897148423,0.0198943059188094
"201",200,0.0126017921733102,0.019521035770324
"202",201,0.012363623141819,0.019154632532727
"203",202,0.0121299006825394,0.0187949755998416
"204",203,0.0119005433502442,0.0184419448941624
"205",204,0.0116754715247433,0.0180954229253475
"206",205,0.0114546069117499,0.0177552940306446
"207",206,0.0112378725127596,0.0174214443364578
"208",207,0.0110251933151804,0.0170937628294614
"209",208,0.0108164957307367,0.0167721404997273
"210",209,0.0106117062650587,0.0164564682971629
"211",210,0.0104107532338873,0.0161466397827567
"212",211,0.0102135661639296,0.0158425502122432
"213",212,0.0100200757654557,0.0155440965003132
"214",213,0.00983021447930227,0.0152511780708723
"215",214,0.009643916237709,0.0149636964948883
"216",215,0.00946111490892105,0.0146815530958235
"217",216,0.00928174605533126,0.014404651667791
"218",217,0.00910574634625056,0.0141328975750953
"219",218,0.00893305353322174,0.0138661977193695
"220",219,0.00876360681099942,0.0136044611022925
"221",220,0.00859734683346412,0.0133475988556208
"222",221,0.00843421423959295,0.0130955219685622
"223",222,0.00827415116608312,0.0128481436288401
"224",223,0.00811710075522452,0.0126053784669887
"225",224,0.00796300713228806,0.0123671425256522
"226",225,0.00781181564808713,0.0121333536387971
"227",226,0.00766347305168322,0.0119039317031289
"228",227,0.00751792608367529,0.01167879650636
"229",228,0.00737512282037913,0.011457869809413
"230",229,0.00723501224608482,0.0112410746885949
"231",230,0.00709754423215237,0.0110283355066809
"232",231,0.00696266972110417,0.0108195782011821
"233",232,0.00683034103770596,0.0106147307693615
"234",233,0.0067005103794364,0.0104137209346027
"235",234,0.00657313118687289,0.0102164782704356
"236",235,0.00644815771930954,0.0100229335465845
"237",236,0.00632554503562501,0.00983301870209871
"238",237,0.00620524913070091,0.00964666705935824
"239",238,0.00608722737390904,0.00946381400619725
"240",239,0.00597143688473396,0.00928439448181474
"241",240,0.0058578359495627,0.00910834517390939
"242",241,0.00574638359384151,0.00893560385824199
"243",242,0.00563703956480354,0.00876610937408569
"244",243,0.0055297644165473,0.00859980175827252
"245",244,0.00542452001910837,0.00843662303669757
"246",245,0.00532126796409814,0.00827651475441554
